Bedrooms,Bathrooms,Floor_num,Floor_area,Price
3,3,2,1230,7400000
3,3,7,1700,17000000
3,3,6,1300,8000000
3,2,6,1175,6300000
3,3,6,1265,8500000
3,2,7,1000,5700000
2,2,8,1100,4500000
2,2,1,1100,4500000
3,2,1,1045,11000000
3,2,6,1100,6400000
4,4,6,2100,14000000
3,3,6,1250,10800000
4,3,5,2375,22000000
3,2,1,1100,7900000
3,2,4,820,6000000
3,3,4,1125,9700000
2,3,3,1220,16300000
4,4,2,2200,16500000
2,2,3,970,4800000
3,3,1,1510,8200000
3,3,1,1235,11800000
3,2,2,950,6000000
2,2,6,1230,5000000
3,2,7,1150,6500000
3,2,7,1150,6500000
3,3,7,1150,6700000
3,3,2,1250,7600000
2,2,2,860,4900000
3,2,1,1050,6200000
4,4,10,3355,39000000
,,,3600,40000000
3,3,4,1425,8637500
3,3,1,850,7000000
3,2,1,1100,5000000
3,3,1,1100,4200000
3,3,3,1300,6500000
3,2,4,1050,5800000
3,2,2,1070,4600000
3,3,4,1230,6400000
,,8,3400,57800000
,,,2880,15000000
3,2,4,879,5274000
4,4,9,1850,17500000
3,4,3,1856,17500000
4,4,7,1650,9900000
,,2,130,4200000
2,2,4,625,2500000
3,3,8,1250,5000000
2,2,5,650,3000000
3,3,1,1350,12000000
3,3,5,1325,6500000
3,3,5,1852,21500000
3,3,1,1210,6000000
3,4,5,1654,11000000
3,3,6,1275,12500000
,,8,2600,42900000
4,4,1,1955,25237500
3,3,2,1609,12800000
3,3,1,1410,13395000
2,2,9,922,5000000
4,4,1,2450,43000000
4,5,2,2258,28000000
3,4,6,1500,12200000
3,2,4,1050,5000000
3,3,5,1872,13500000
3,2,3,935,6610000
2,2,5,750,3500000
3,2,1,963,2503800
2,2,2,951,2472600
3,3,2,1248,3244800
3,2,2,1046,2800000
3,2,4,1000,3800000
3,2,3,1050,5500000
3,3,3,1090,7085000
4,4,1,3218,27500000
4,4,8,1400,9500000
3,3,3,1400,7500000
4,4,1,3200,58000000
3,3,4,1150,7000000
3,3,3,1390,22500000
3,3,5,1383,10800000
4,3,5,1650,11000000
4,3,3,1650,11000000
4,4,4,2785,44000000
2,2,1,1070,9630000
3,3,1,1450,11000000
3,4,8,2475,23500000
3,2,3,1200,7500000
4,5,4,2535,16000000
3,3,8,1325,8000000
3,3,6,1650,8250000
3,3,4,1650,8250000
2,2,6,1130,5800000
3,3,3,1150,9500000
3,3,6,1587,15900000
3,3,4,1320,9300000
3,2,1,1100,6500000
3,3,5,1375,12100000
,,4,21500,220000000
3,2,2,900,5000000
3,3,5,1008,4838400
3,2,3,1055,5300000
